,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price,#VALUE!
2433,495,Airoli,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6400000,12929.29293
6248,660,Airoli,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400000,12727.27273
4148,600,Airoli,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,7500000,12500
4153,600,Airoli,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,7500000,12500
4273,780,Airoli,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,9500000,12179.48718
6249,600,Airoli,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,7300000,12166.66667
1145,1245,Airoli,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,14900000,11967.87149
1884,1245,Airoli,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,14800000,11887.5502
1146,1183,Airoli,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1,14000000,11834.31953
4275,660,Airoli,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800000,11818.18182
4276,660,Airoli,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,7800000,11818.18182
4177,650,Airoli,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,7600000,11692.30769
5683,600,Airoli,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7000000,11666.66667
4364,1245,Airoli,2,0,1,1,0,0,0,1,1,1,0,0,0,0,1,14000000,11244.97992
4494,675,Airoli,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,7500000,11111.11111
4105,1050,Airoli,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11100000,10571.42857
4274,640,Airoli,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6600000,10312.5
4280,680,Airoli,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,10294.11765
4272,650,Airoli,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6500000,10000
4279,700,Airoli,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,7000000,10000
965,1000,Airoli,2,0,0,1,1,1,1,0,1,0,0,0,0,0,1,9500000,9500
4480,650,Airoli,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6100000,9384.615385
4277,666,Airoli,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5900000,8858.858859
6157,952,Airoli,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8400000,8823.529412
3869,625,Ambernath,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,3900000,6240
1951,466,Ambernath,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2840000,6094.420601
3551,900,Ambernath,2,0,1,1,0,0,0,1,1,1,1,0,0,1,1,4850000,5388.888889
573,730,Ambernath,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,3874000,5306.849315
5459,725,Ambernath,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,3650000,5034.482759
2898,550,Ambernath,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,2450000,4454.545455
2263,1010,Ambernath,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,4200000,4158.415842
